rpm,temperature,vibration,pressure,load,temp_ma,vib_ma,temp_roc,vib_roc,rpm_std,pressure_deviation,temp_deviation,vib_deviation,combined_degradation_index,scenario,severity,fault_label,is_anomaly,rul_hours,run,tick
4199.7,72.01,1.221,4.186,54.8,72.01,1.221,0.0,0.0,0.0,-0.014000000000000234,0.010000000000005116,0.02100000000000013,0.002245000000000064,NORMAL,0.0,NONE,0,12.0,NORMAL_0,0
4195.4,71.89,1.208,4.193,54.8,71.95,1.2145000000000001,-0.12000000000000455,-0.013000000000000123,2.150000000000091,-0.007000000000000561,-0.10999999999999943,0.008000000000000007,0.0018200000000000818,NORMAL,0.0,NONE,0,12.0,NORMAL_0,1
4193.2,72.03,1.216,4.192,54.7,71.97666666666667,1.215,0.14000000000000057,0.008000000000000007,2.6993826454703957,-0.008000000000000007,0.030000000000001137,0.016000000000000014,0.0027447530581881678,NORMAL,0.0,NONE,0,12.0,NORMAL_0,2
4191.3,72.08,1.205,4.179,55.0,72.0025,1.2125,0.04999999999999716,-0.010999999999999899,3.1280984639232985,-0.020999999999999908,0.0799999999999983,0.0050000000000001155,0.003781239385569305,NORMAL,0.0,NONE,0,12.0,NORMAL_0,3
4196.4,72.07,1.205,4.181,54.7,72.01599999999999,1.2109999999999999,-0.010000000000005116,0.0,2.8614681546365897,-0.019000000000000128,0.06999999999999318,0.0050000000000001155,0.003439587261854601,NORMAL,0.0,NONE,0,12.0,NORMAL_0,4
4197.8,72.07,1.195,4.173,54.9,72.02799999999999,1.2058,0.0,-0.010000000000000009,2.786076492528862,-0.027000000000000135,0.06999999999999318,-0.004999999999999893,0.003799430597011505,NORMAL,0.0,NONE,0,12.0,NORMAL_0,5
4194.9,72.0,1.19,4.178,55.2,72.05,1.2022,-0.06999999999999318,-0.0050000000000001155,2.592138822183175,-0.02200000000000024,0.0,-0.010000000000000009,0.0027968555288732898,NORMAL,0.0,NONE,0,12.0,NORMAL_0,6
4197.2,72.08,1.174,4.18,55.4,72.05999999999999,1.1938,0.0799999999999983,-0.016000000000000014,2.486934609112151,-0.020000000000000462,0.0799999999999983,-0.026000000000000023,0.0031947738436448846,NORMAL,0.0,NONE,0,12.0,NORMAL_0,7
4192.3,72.02,1.178,4.184,55.6,72.048,1.1884000000000001,-0.060000000000002274,0.0040000000000000036,2.581606352259052,-0.016000000000000014,0.01999999999999602,-0.02200000000000002,0.002462642540903592,NORMAL,0.0,NONE,0,12.0,NORMAL_0,8
4195.2,72.11,1.168,4.202,56.0,72.056,1.1809999999999998,0.09000000000000341,-0.010000000000000009,2.449571391080415,0.0019999999999997797,0.10999999999999943,-0.03200000000000003,0.0018048285564321617,NORMAL,0.0,NONE,0,12.0,NORMAL_0,9
4194.8,72.06,1.158,4.195,56.2,72.054,1.1736,-0.04999999999999716,-0.010000000000000009,2.340728148346675,-0.004999999999999893,0.060000000000002274,-0.04200000000000004,0.0017862912593386785,NORMAL,0.0,NONE,0,12.0,NORMAL_0,10
4196.7,72.02,1.149,4.189,55.7,72.05799999999999,1.1654,-0.04000000000000625,-0.008999999999999897,2.2746641998813537,-0.01100000000000012,0.01999999999999602,-0.050999999999999934,0.0019398656799525214,NORMAL,0.0,NONE,0,12.0,NORMAL_0,11
4197.0,71.95,1.156,4.178,55.5,72.032,1.1618,-0.06999999999999318,0.006999999999999895,2.226202221578411,-0.02200000000000024,-0.04999999999999716,-0.04400000000000004,0.002650480888631384,NORMAL,0.0,NONE,0,12.0,NORMAL_0,12
4196.0,71.86,1.174,4.188,55.2,72.0,1.161,-0.09000000000000341,0.018000000000000016,2.1486231946650847,-0.012000000000000455,-0.14000000000000057,-0.026000000000000023,0.0018194492778660703,NORMAL,0.0,NONE,0,12.0,NORMAL_0,13
4191.5,71.96,1.198,4.197,54.9,71.97,1.167,0.09999999999999432,0.02400000000000002,2.310113032347536,-0.0030000000000001137,-0.04000000000000625,-0.0020000000000000018,0.0011640452129390237,NORMAL,0.0,NONE,0,12.0,NORMAL_0,14
4193.2,71.91,1.19,4.19,54.7,71.94,1.1734,-0.04999999999999716,-0.008000000000000007,2.2934349238641474,-0.009999999999999787,-0.09000000000000341,-0.010000000000000009,0.001717373969545642,NORMAL,0.0,NONE,0,12.0,NORMAL_0,15
4197.4,71.98,1.206,4.207,55.2,71.93199999999999,1.1847999999999999,0.07000000000000739,0.016000000000000014,2.2863972657320732,0.006999999999999673,-0.01999999999999602,0.006000000000000005,0.0012145589062928295,NORMAL,0.0,NONE,0,12.0,NORMAL_0,16
